pick_date,code,name,systems,score,ret_5d,ret_10d
2026-07-08,2503,キリンホールディングス,anomaly|tech|volume,71,,
2026-07-08,4385,メルカリ,anomaly|tech|volume,71,,
2026-07-08,8601,大和証券グループ本社,anomaly|tech|volume,72,,
2026-07-08,9433,KDDI,anomaly|tech,49,,
2026-07-08,8604,野村ホールディングス,anomaly|tech,49,,
2026-07-08,6178,日本郵政,anomaly|tech,49,,
2026-07-08,8309,三井住友トラスト・ホールディングス,anomaly|tech,49,,
2026-07-08,8306,三菱UFJフィナンシャル・グループ,anomaly|tech,48,,
2026-07-08,8316,三井住友フィナンシャルグループ,anomaly|tech,48,,
2026-07-08,7182,ゆうちょ銀行,anomaly|tech,48,,
2026-07-09,2503,キリンホールディングス,anomaly|tech|volume,71,,
2026-07-09,4385,メルカリ,anomaly|tech|volume,71,,
2026-07-09,8601,大和証券グループ本社,anomaly|tech|volume,72,,
2026-07-09,9433,KDDI,anomaly|tech,49,,
2026-07-09,8604,野村ホールディングス,anomaly|tech,49,,
2026-07-09,6178,日本郵政,anomaly|tech,49,,
2026-07-09,8309,三井住友トラスト・ホールディングス,anomaly|tech,49,,
2026-07-09,8306,三菱UFJフィナンシャル・グループ,anomaly|tech,48,,
2026-07-09,8316,三井住友フィナンシャルグループ,anomaly|tech,48,,
2026-07-09,7182,ゆうちょ銀行,anomaly|tech,48,,
2026-07-10,6098,リクルートホールディングス,anomaly|tech|volume,72,,
2026-07-10,2503,キリンホールディングス,anomaly|tech,48,,
2026-07-10,6178,日本郵政,anomaly|tech,49,,
2026-07-10,8309,三井住友トラスト・ホールディングス,anomaly|tech,48,,
2026-07-10,9433,KDDI,anomaly|tech,48,,
2026-07-10,8411,みずほフィナンシャルグループ,anomaly|tech,48,,
2026-07-10,8750,第一生命ホールディングス,anomaly|tech,48,,
2026-07-10,8316,三井住友フィナンシャルグループ,anomaly|tech,48,,
2026-07-10,1721,コムシスホールディングス,tech,25,,
2026-07-10,9983,ファーストリテイリング,tech,26,,
2026-07-10,4385,メルカリ,anomaly|tech|volume,70,,
2026-07-10,3436,SUMCO,anomaly|tech,47,,
2026-07-10,8306,三菱UFJフィナンシャル・グループ,anomaly|tech,47,,
2026-07-10,8604,野村ホールディングス,anomaly|tech,46,,
2026-07-10,7182,ゆうちょ銀行,anomaly|tech,47,,
2026-07-10,8601,大和証券グループ本社,anomaly|tech,46,,
2026-07-10,8591,オリックス,anomaly|tech,48,,
2026-07-10,9984,ソフトバンクグループ,tech,25,,
2026-07-10,3382,セブン&アイ・ホールディングス,volume,27,,
2026-07-13,4385,メルカリ,anomaly|tech|volume,71,,
2026-07-13,9983,ファーストリテイリング,tech|volume,51,,
2026-07-13,3436,SUMCO,anomaly|tech,48,,
2026-07-13,8306,三菱UFJフィナンシャル・グループ,anomaly|tech,49,,
2026-07-13,8591,オリックス,anomaly|tech,48,,
2026-07-13,8316,三井住友フィナンシャルグループ,anomaly|tech,48,,
2026-07-13,8604,野村ホールディングス,anomaly|tech,47,,
2026-07-13,8411,みずほフィナンシャルグループ,anomaly|tech,48,,
2026-07-13,8309,三井住友トラスト・ホールディングス,anomaly|tech,47,,
2026-07-13,3382,セブン&アイ・ホールディングス,volume,27,,
2026-07-13,8601,大和証券グループ本社,anomaly|tech|volume,69,,
2026-07-13,7182,ゆうちょ銀行,anomaly|tech,47,,
2026-07-13,9433,KDDI,anomaly|tech,46,,
2026-07-13,6920,レーザーテック,tech,25,,
2026-07-13,6506,安川電機,volume,27,,
2026-07-14,8306,三菱UFJフィナンシャル・グループ,anomaly|tech|volume,72,,
2026-07-14,3436,SUMCO,tech|volume,50,,
2026-07-14,8316,三井住友フィナンシャルグループ,anomaly|tech,48,,
2026-07-14,8411,みずほフィナンシャルグループ,anomaly|tech,47,,
2026-07-14,8604,野村ホールディングス,anomaly|tech,47,,
2026-07-14,7182,ゆうちょ銀行,anomaly|tech,48,,
2026-07-14,8601,大和証券グループ本社,anomaly|tech,47,,
2026-07-14,8309,三井住友トラスト・ホールディングス,anomaly|tech,47,,
2026-07-14,9433,KDDI,anomaly|tech,47,,
2026-07-14,6506,安川電機,volume,27,,
