code,name
1605,INPEX
1721,コムシスホールディングス
1801,大成建設
1802,大林組
1803,清水建設
1812,鹿島建設
1925,大和ハウス工業
1928,積水ハウス
2413,エムスリー
2502,アサヒグループホールディングス
2503,キリンホールディングス
2801,キッコーマン
2802,味の素
2914,日本たばこ産業
3092,ZOZO
3382,セブン&アイ・ホールディングス
3402,東レ
3407,旭化成
3436,SUMCO
3659,ネクソン
4005,住友化学
4021,日産化学
4063,信越化学工業
4183,三井化学
4188,三菱ケミカルグループ
4307,野村総合研究所
4385,メルカリ
4452,花王
4478,freee
4502,武田薬品工業
4506,住友ファーマ
4507,塩野義製薬
4519,中外製薬
4523,エーザイ
4528,小野薬品工業
4543,テルモ
4568,第一三共
4578,大塚ホールディングス
4661,オリエンタルランド
4689,LINEヤフー
4755,楽天グループ
4901,富士フイルムホールディングス
4911,資生堂
5019,出光興産
5020,ENEOSホールディングス
5108,ブリヂストン
5301,東海カーボン
5333,日本碍子
5401,日本製鉄
5411,JFEホールディングス
5631,日本製鋼所
5713,住友金属鉱山
5714,DOWAホールディングス
6098,リクルートホールディングス
6146,ディスコ
6178,日本郵政
6273,SMC
6301,コマツ
6367,ダイキン工業
6460,セガサミーホールディングス
6501,日立製作所
6503,三菱電機
6504,富士電機
6506,安川電機
6532,ベイカレント
6594,ニデック
6645,オムロン
6701,日本電気
6702,富士通
6723,ルネサスエレクトロニクス
6752,パナソニックホールディングス
6758,ソニーグループ
6762,TDK
6857,アドバンテスト
6861,キーエンス
6902,デンソー
6920,レーザーテック
6954,ファナック
6963,ローム
6971,京セラ
6976,太陽誘電
6981,村田製作所
7011,三菱重工業
7012,川崎重工業
7013,IHI
7182,ゆうちょ銀行
7201,日産自動車
7203,トヨタ自動車
7267,本田技研工業
7269,スズキ
7270,SUBARU
7735,SCREENホールディングス
7741,HOYA
7751,キヤノン
7832,バンダイナムコホールディングス
7911,TOPPANホールディングス
7912,大日本印刷
7974,任天堂
8001,伊藤忠商事
8002,丸紅
8015,豊田通商
8031,三井物産
8035,東京エレクトロン
8053,住友商事
8058,三菱商事
8306,三菱UFJフィナンシャル・グループ
8309,三井住友トラスト・ホールディングス
8316,三井住友フィナンシャルグループ
8411,みずほフィナンシャルグループ
8591,オリックス
8601,大和証券グループ本社
8604,野村ホールディングス
8630,SOMPOホールディングス
8697,日本取引所グループ
8725,MS&ADインシュアランスグループ
8750,第一生命ホールディングス
8766,東京海上ホールディングス
8801,三井不動産
8802,三菱地所
8830,住友不動産
9008,京王電鉄
9020,東日本旅客鉄道
9021,西日本旅客鉄道
9022,東海旅客鉄道
9101,日本郵船
9104,商船三井
9107,川崎汽船
9201,日本航空
9202,ANAホールディングス
9432,日本電信電話
9433,KDDI
9434,ソフトバンク
9501,東京電力ホールディングス
9503,関西電力
9531,東京ガス
9613,NTTデータグループ
9766,コナミグループ
9983,ファーストリテイリング
9984,ソフトバンクグループ
